Federal Judicial District,Number
Alabama,1435
Alaska,243
Arizona,11639
Arkansas,1000
California,7814
Colorado,603
Connecticut,352
Delaware,137
Florida,4121
Georgia,1776
Guam,72
Hawaii,177
Idaho,484
Illinois,1569
Indiana,778
Iowa,1171
Kansas,640
Kentucky,1103
Louisiana,883
Maine,243
Maryland,1158
Massachusetts,595
Michigan,1348
Minnesota,662
Mississippi,758
Missouri,2352
Montana,731
Nebraska,633
Nevada,839
New Hampshire,187
New Jersey,777
New Mexico,2856
New York,3117
North Carolina,2723
North Dakota,506
Northern Mariana Islands,32
Ohio,1928
Oklahoma,1700
Oregon,676
Pennsylvania,1767
Puerto Rico,1151
Rhode Island,133
South Carolina,953
South Dakota,884
Tennessee,1860
Texas,21856
U.S. Virgin Islands,110
Utah,1121
Vermont,297
Virginia,1602
Washington,1048
West Virginia,839
Wisconsin,618
Wyoming,354